Miner	Venue	URLs on racial discrimination
RA00297746	G1	https://g1.globo.com/rs/rio-grande-do-sul/noticia/2021/02/09/ex-vereador-valter-nagelstein-e-indiciado-por-racismo-apos-audio-sobre-vereadores-de-porto-alegre.ghtml
RA00297746	G1	https://g1.globo.com/pa/para/noticia/pichacao-fora-branco-e-casos-de-racismo-acirram-debate-na-ufpa.ghtml
RA00297726	UOL	https://noticias.uol.com.br/internacional/ultimas-noticias/2020/06/29/adolescente-negro-e-ferido-pai-preso-londres-passeio-caridade.htm
RA00297746	G1	https://g1.globo.com/mg/zona-da-mata/noticia/2019/12/02/policia-civil-investiga-suposto-caso-de-racismo-contra-professora-em-santos-dumont.ghtml
RA00297726	UOL	https://noticias.uol.com.br/internacional/ultimas-noticias/2020/06/30/catedral-britanica-jesus-negro.htm
RA00297746	G1	https://g1.globo.com/ac/acre/noticia/2021/01/25/apos-indigena-sofrer-preconceito-mpf-pede-a-ufac-lista-de-acoes-de-combate-ao-racismo-e-discriminacao.ghtml
RA00297746	G1	https://g1.globo.com/ma/maranhao/noticia/2020/02/17/restaurante-e-denunciado-por-racismo-em-sao-luis-e-internautas-relatam-outros-casos-pior-experiencia-da-minha-vida.ghtml
RA00275004	CNN	https://www.cnnbrasil.com.br/nacional/2021/02/10/usp-deve-fomentar-praticas-de-combate-ao-racismo-para-coibir-casos-diz-advogado
RA00297726	Diario de Noticias	
RA00275004	IstoÉ	https://www.istoedinheiro.com.br/procuradoria-do-rio-cria-comissao-para-combater-o-racismo-estrutural/
RA00297746	G1	https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/2019/11/04/policia-civil-investiga-caso-de-racismo-na-vila-trindade-em-paraty.ghtml
RA00297726	UOL	https://entretenimento.uol.com.br/noticias/redacao/2020/06/21/falta-de-diversidade-na-tv-e-no-cinema-e-vergonhosa-diz-steve-mcqueen.htm
